#domain
hospital
#levelname
MATheZoo
#colors
blue: 0, 4, A
green: 1, 2, B
purple: 3, 8, C
orange: 5, D
pink: 6, 9, Y, X
red: 7
#initial
++++++++++++++++++++++++++
+0       ++1 + + 6       +
+        +  ++B+        X+
+        ++ ++ +        Y+
+              + 9       +
+++++++++++ ++++++++++++++
++++++D++++ +++++++ C  +++
++++++ ++++ +++++++ ++ +++
+4A       + +2 C+C+ ++   +
+         +A+   +      + +
+A        +++B 3+ + +    +
+A        +8+++++ + +    +
+5A       +        7    ++
++++++++++++++++++++++++++
#goal
++++++++++++++++++++++++++
+0       ++ A+B+        X+
+        + 1++ +6        +
+        ++ ++ +9        +
+              +        Y+
+++++++++++ ++++++++++++++
++++++ ++++ +++++++    +++
++++++ ++++ +++++++ ++ +++
+4  A     + +C 3+7+ ++  8+
+   A     + +   +      + +
+        D+++2 B+ + +    +
+   A     + +++++ + +    +
+5  A     +C            ++
++++++++++++++++++++++++++
#end
#clientname
vAIkings
#actions
199803902:Move(S);NoOp;Move(S);Move(N);Push(E,E);NoOp;Move(S);NoOp;Move(S);NoOp
22960287392:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
23058078984:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
23150399058:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
23269918594:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
23368550125:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
23460983985:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
23578239492:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
23677032597:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
23771127643:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
23866076540:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
23957614025:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
24097305642:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
24189157972:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
24296911026:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
24420645254:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
24514023002:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
24604906636:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
24721742815:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
24816156561:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
24915680811:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
25011068365:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
25102332299:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
25243093773:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
25335696444:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
25426500613:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
25554697621:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
25649398877:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
25742030083:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
25858958760:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
25955083947:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
26049841376:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
26145523363:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
26240845659:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
26387858380:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
26479991239:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
26573386753:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
26699595585:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
26791010954:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
26883225239:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
26999614858:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
27092817515:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
27186036255:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
27287168729:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
27378472072:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
27517769971:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
27611285304:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
27702693718:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
27826412472:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
27921223665:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
28012073795:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
28126444819:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
28221353251:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
28317645498:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
28412908301:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
28509092594:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
28647369114:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
28739692140:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
28831031350:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
28954064825:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
29046358808:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
29136746389:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
29253762617:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
29347866912:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
29441323897:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
29536688017:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
29634531103:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
29777186015:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
29869388253:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
29960402309:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
30082478089:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
30174180281:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
30270295703:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
30384528339:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
30477949140:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
30572856079:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
30667193838:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
30759161449:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
30898899064:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
30994015484:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
31084645614:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
31205842177:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
31302620644:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
31395848687:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
31515606614:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
31611219825:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
31705617282:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
31801175151:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
31894996712:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
32038530751:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
32130991973:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
32228900311:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
32353993575:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
32451575561:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
32544576727:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
32665529921:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
32760782514:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
32855102039:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
32951172739:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
33042610472:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
33182292689:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
33277962634:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
33369953589:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
33494672337:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
33586986091:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
33680756009:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
33797919120:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
33897554852:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
33994541158:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
34090703786:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
34183414877:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
34325181429:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
34419695546:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
34517325914:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
34645404970:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
34736739085:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
34828790385:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
34944494466:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
35040992235:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
35137426603:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
35234213513:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
35326681849:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
35466405842:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
35559153122:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
35652030461:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
35777883496:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
35869474754:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
35961590963:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
36077342289:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
36171951250:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
36268877471:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
36370335668:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
36461466805:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
36602541051:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
36695708267:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
36787242238:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
36907276001:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
37004910477:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
37096555334:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
37211869916:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
37307491613:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
37401572519:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
37499688713:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
37591036994:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
37747184036:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
37838726154:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
37929700866:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
38052225293:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
38146693076:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
38238074727:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
38352920385:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
38447195935:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
38541070008:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
38636718790:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
38731006161:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
38870086676:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
38964174152:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
39058217761:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
39180562202:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
39275327244:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
39367591106:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
39482810882:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
39577222877:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
39672885181:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
39767589870:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
39859799479:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
40000111185:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
40092635287:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
40185032829:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
40310381743:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
40405274515:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
40500597628:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
40616054965:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
40712446336:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
40806473824:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
40902109575:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
40994462907:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
41136886530:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
41230665018:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
41329145182:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
41453347936:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
41545726238:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
41638136376:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
41760380483:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
41855360514:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
41952491976:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
42047876707:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
42139422606:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
42283052999:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
42379471385:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
42470529874:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
42594895478:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
42686877912:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
42778475322:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
42893510267:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
42993017762:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
43086692898:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
43184884223:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
43279254609:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
43418192070:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
43512031144:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
43607488080:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
43731590517:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
43821819570:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
43913212325:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
44029519598:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
44122843132:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
44221254633:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
44317626316:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
44409662108:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
44555065662:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
44648052398:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
44740705554:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
44865903711:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
44958549625:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
45050734927:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
45167010511:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
45263253233:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
45361251801:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
45456292705:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
45549374437:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
45691053819:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
45784776530:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
45881516253:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
46004378200:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
46103171050:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
46196389061:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
46320631626:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
46415609007:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
46511340155:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
46611484730:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
46704610668:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
46846213655:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
46940720092:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
47031869929:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
47153167661:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
47249183116:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
47341091359:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
47457028394:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
47553376706:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
47648893085:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
47745475457:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
47837776319:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
47977679241:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
48070100549:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
